G6359|ἀνταπόκρισις|antapokrisis|an answer
G6360|ἀντίγραφος|antigraphos|a copy
G6361|ἀντιδίδωμι|antididōmi|to repay
G6362|ἀντιδικέω|antidikeō|to plead
G6363|ἀντίζηλος|antizēlos|a rival
G6364|ἀντίθετος|antithetos|contrary
G6365|ἀντικαθίζομαι|antikathizomai|to relocate
G6366|ἀντικρίνω|antikrinō|to adjudicate
G6367|ἀντιλήπτωρ|antilēptōr|a shielder
G6368|ἀντίον|antion|a beam of a loom
G6369|ἀντιποιέω|antipoieō|to act against
G6370|ἀντιπολεμέω|antipolemeō|to battle
G6371|ἀντιπρόσωπος|antiprosōpos|facing
G6372|ἀντίρρησις|antirrēsis|a contradiction
G6373|ἀντιστήριγμα|antistērigma|a support
G6374|ἀντιστηρίζω|antistērizō|to support
G6375|ἀντιτίθημι|antitithēmi|to substitute
G6376|ἄντρον|antron|an inner room
G6377|ἀνυπόδετος|anupodetos|barefoot
G6378|ἀνυπομόνητος|anupomonētos|unsufferable
G6379|ἀνυπόστατος|anupostatos|unsubdued
G6380|ἀνυψόω|anupsoō|to elevate
G6381|ἀξιόπιστος|axiopistos|worthy of trust
G6382|ἀξίωμα|axiōma|a petition
G6383|ἄξων|axōn|an axle
G6384|ἀοίκητος|aoikētos|uninhabited
G6385|ἀορασία|aorasia|inability to see
G6386|ἀπαγγελία|apangelia|a report
G6387|ἀπαγωγή|apagōgē|enslavement
G6388|ἀπαιδευσία|apaideusia|stupidity
G6389|ἀπαίτησις|apaitēsis|exaction
G6390|ἀπαλείφω|apaleiphō|to wipe away
G6391|ἀπαλλοτρίωσις|apallotriōsis|alienation
G6392|ἁπαλότης|hapalotēs|tenderness
G6393|ἁπαλύνω|hapalunō|to make tender
G6394|ἀπαμαυρόω|apamauroō|to blur
G6395|ἀπαναίνομαι|apanainomai|to refuse
G6396|ἀπαναισχυντέω|apanaischunteō|to cast shame
G6397|ἀπαναλίσκω|apanaliskō|to consume
G6398|ἀπαντή|apantē|meet
G6399|ἀπάντημα|apantēma|a meeting
G6400|ἀπάνωθεν|apanōthen|from on top
G6401|ἀπαράλλακτος|aparallaktos|unalterable
G6402|ἄπαρσις|aparsis|a departure
G6403|ἀπαρτία|apartia|chattel
G6404|ἀπάρχομαι|aparchomai|to dedicate
G6405|ἀπέκτασις|apektasis|spreading out
G6406|ἀπελέκητος|apelekētos|unhewn
G6407|ἀπελευθερόω|apeleutheroō|to set free
G6408|ἀπενεόομαι|apeneoomai|to silence
G6409|ἀπερείδω|apereidō|to fasten
G6410|ἀπερικάθαρτος|aperikathartos|impure
G6411|ἀπηλιώτης|apēliōtēs|east wind
G6412|ἄπιος|apios|pear tree
G6413|ἄπλαστος|aplastos|simple
G6414|ἄπληστος|aplēstos|insatiable
G6415|ἁπλοσύνη|haplosunē|singleness
G6416|ἁπλόω|haploō|to simplify
G6417|ἀποβιάζομαι|apobiazomai|to repel
G6418|ἀπογαλακτίζω|apogalaktizō|to wean
G6419|ἀπόγονος|apogonos|a descendant
G6420|ἀποδεσμεύω|apodesmeuō|to bind up
G6421|ἀπόδεσμος|apodesmos|a bundle
G6422|ἀποδέω|apodeō|to tie up
G6423|ἀποδιαιρέω|apodiaireō|to divide up
G6424|ἀποδιδράσκω|apodidraskō|to run away
G6425|ἀποδιώκω|apodiōkō|to banish
G6426|ἀπόδομα|apodoma|a gift
G6427|ἀπόδοσις|apodosis|restitution
G6428|ἀποθερίζω|apotherizō|to mow
G6429|ἀποικεσία|apoikesia|resettlement
G6430|ἀποικία|apoikia|resettlement
G6432|ἀποικισμός|apoikismos|a settlement
G6433|ἀποίχομαι|apoichomai|to move
